SampleID	genotype	pond	cage
A1	Sp21	1	ctrl
A2	Sp65	1	ctrl
A3	Sp21	1	herb
A4	Sp65	1	herb
A5	Sp21	2	ctrl
A6	Sp65	2	ctrl
A7	Sp21	2	herb
A8	Sp65	2	herb
A9	Sp21	3	ctrl
A10	Sp65	3	ctrl
A11	Sp21	3	herb
A12	Sp65	3	herb
A13	Sp21	4	ctrl
A14	Sp65	4	ctrl
A15	Sp21	4	herb
A16	Sp65	4	herb
A17	Sp21	5	ctrl
A18	Sp65	5	ctrl
A19	Sp21	5	herb
A20	Sp65	5	herb
A21	Sp21	6	ctrl
A22	Sp65	6	ctrl
A23	Sp21	6	herb
A24	Sp65	6	herb
A25	Sp21	7	ctrl
A26	Sp65	7	ctrl
A27	Sp21	7	herb
A28	Sp65	7	herb
A29	nc	nc	nc
