sampleID	group	pond	cage	genotype	mix_type	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Glycine	L-Histidine	L-Tyrosine	Tyramine	Tryptamine	Shikimic acid	Apigenin	Luteolin	IP	IPR	tZ	tZR	cZ	cZR	IAA	Cinnamic acid	Coumaric acid_p	Caffeic acid	Sinapic acid	ABA	SA	JA	JA-Ile	OPDA	Glucose	Fructose	Sucrose	Starch	Cyanidin 3-O-glc	Cyanidin-3-O-(6-O-malonyl-beta-glc)	Chlorogenic acid	Luteolin 7-O-glc	Luteolin 8-C-glc	Apigenin 7-O-glc	Apigenin 8-C-glc	putative Chlorogenic acid isomere
31	w8	7	control	mix	none	3.910427722	24.14965235	255.5720771	24.8198607	21.75119158	31.64994339	1.471078956	0.452113555	1.419253165	0.413425259	6.535974689	4.441370489	1.30407694	3.067522065	0.999751134	1.159059909	0.284851875	0.313122813	0.225036249	1.766490609	0.002360843	0.012575295	5.769810084	32.56115732	13.02166092	18.30584723	5.037573396	55.6180579	539.7720392	9.126758456	2613.47844	646.5459223	2352.486136	156.4874242	6125.476202	837.3786258	275.2813428	36390.49586	8.397599267	15.87770655	32.94893439	80.79251929	2.22263058	1828.767677	4.945492588	10.21157649	9.652887319	4.180198768	13.49878824	1.149718951
32	w8	7	herbivory	mix	none	4.008743448	21.04615493	159.8734183	18.60035806	17.75143778	23.16409608	1.170821873	0.379104902	0.697177817	0.341631612	5.05538212	3.170064909	0.962460185	2.07379017	0.792859628	0.727279532	0.240033664	0.520285109	0.278102269	2.945298207	0.001227184	0.017369873	5.351759609	13.02246844	12.64489351	10.6748446	4.135723456	48.85074896	325.978061	8.880689426	4708.126623	627.6756388	1794.553547	99.3070401	917.5830692	686.1628254	116.4851422	29299.0832	4.512878854	9.001853687	33.69253359	89.04922508	4.789114694	2343.272727	2.370342394	12.53338055	12.59880125	3.343673097	11.48166993	1.040133323
33	w8	8	control	mix	none	4.167291763	27.16996965	253.2621256	25.79539591	20.16252765	24.62744359	1.462649267	0.519814314	1.757545472	0.402932636	6.121992382	3.758438986	1.610832784	2.638450682	1.018800497	1.156958106	0.288714906	0.253377973	0.090392923	1.892179159	0.001587676	0.014247478	4.692732299	30.64416088	12.33240805	15.81058361	4.80750427	45.35926359	654.0281268	7.999324013	1841.588202	769.5366754	2595.264076	115.1982211	791.4614325	160.9559302	46.73763537	11015.78224	6.771032418	12.95986119	29.57115464	67.00972979	2.155218852	1677.514563	2.936808875	10.75769209	9.375023006	3.668114662	9.584880613	1.169906697
34	w8	8	herbivory	mix	none	3.041396968	30.84311601	215.2735489	22.43675871	18.47778741	23.14782813	1.402665405	0.469589527	1.011197027	0.323077304	4.705623097	3.162518771	1.397065406	2.286604266	0.830459931	0.94433168	0.273455596	0.522725737	0.045846808	2.817535561	0.001481815	0.014386671	5.466279323	9.948247004	14.7194947	10.46235331	3.555572223	37.50815975	396.7797893	8.793620696	4570.551419	460.8514043	2125.950877	174.5353699	734.9154378	198.4678895	40.86213347	24984.11358	2.980146894	8.030282602	31.5197102	78.30028624	5.179702366	2152.776699	1.834820503	12.21450079	12.46203701	2.906648548	9.837624851	1.148118108
35	w8	9	control	mix	none	5.220081728	17.83447549	236.6600074	25.62588772	25.10837049	23.46333049	1.88156781	0.591571799	2.720381101	0.416193427	6.055764147	4.419964297	2.128882837	3.352257309	1.117526207	1.490342759	0.359176488	0.225452514	0.024514749	1.822486898	0.001540065	0.012863552	4.926202573	35.86313045	11.28485266	19.39555175	5.90032819	53.26250957	946.5105042	9.378198685	2474.92748	1143.035945	2423.086043	49.68423503	853.7343507	205.7398471	94.86813402	10757.70714	8.638449778	15.71978859	23.64320662	45.43784056	1.637929562	1708.444444	4.291156753	9.633783754	8.488470953	3.472815018	10.15156421	1.190174636
36	w8	9	herbivory	mix	none	4.303048162	27.10759122	212.578073	27.06790306	20.7581637	16.68343472	2.082715924	0.70512075	1.95860363	0.437235891	6.220096511	4.311694547	1.9394506	3.235045673	0.811301368	1.45957904	0.432992636	0.511102854	0.039746258	2.597602651	0.000214528	0.012084783	5.474365796	24.36190268	9.262605162	13.55383811	4.706949117	45.64882995	718.2689639	6.724214323	4115.597558	551.2398005	2653.40971	59.57875532	817.9565287	284.6406545	86.90502459	18127.92862	6.257337696	9.567149565	27.652616	30.3455624	2.841702664	1502.77551	1.89779082	9.351215396	9.450984997	2.315423602	7.481703075	1.033565951
37	w8	10	control	mix	none	4.03199583	19.10156768	264.9721163	27.01984352	22.57308864	22.187335	1.801570332	0.495234843	1.834886527	0.402700002	6.101745394	4.835238066	1.439090911	2.591565912	0.978732006	1.318202	0.297220007	0.269864314	0.12254283	1.768875452	0.001730673	0.011156449	4.341008366	41.3074147	8.434595482	14.38023231	6.4654496	57.39143757	812.0211554	11.36122444	3777.290451	880.1485058	2419.821955	69.24078392	846.9445812	3710.02848	1875.011988	82929.4785	6.937062839	11.88766504	21.79118926	39.56925339	1.08617206	1046.680412	5.625670988	6.545258233	6.211962147	2.839426755	9.704140545	1.262367221
38	w8	10	herbivory	mix	none	4.181645205	14.3187654	142.1647137	19.77310678	18.37465222	19.21461764	1.206327535	0.446856921	0.735727721	0.277789044	4.853134675	3.400119907	0.981437439	1.748220111	0.652417555	0.892525775	0.242135378	0.614566852	0.188904131	3.129803097	0.001980087	0.013052219	5.394207945	18.16889834	8.665779512	11.61291816	5.830023279	44.88695379	378.9231557	7.171528912	6435.495586	555.1792299	1756.056104	48.56544564	915.7837881	2364.224369	879.4188658	108351.5593	5.090217792	9.489017965	29.00955854	41.61043757	4.217152758	1726.32	1.75664882	10.26861145	10.61028592	2.410657292	8.547666405	1.0199518
39	w12	1	control	mix	none	5.296280788	44.25630343	252.7539205	31.3832659	20.5820414	16.04039204	2.156797517	0.741196363	1.68281903	0.44743201	3.648334281	5.180011214	1.418349739	2.868618966	1.150695156	1.950215028	0.350093045	0.180231767	0.156703906	1.654667881	0.009960484	0.054405055	10.09113915	22.52840874	14.66885535	11.07583144	2.964897216	50.60879885	558.0516371	9.62909377	2376.791623	625.635907	2629.746339	127.4064986	666.6761977	318.5049476	63.50650577	828690.5543	7.394752598	7.667128894	23.84924053	44.17499497	1.424583694	964.5252525	1.717603057	10.7189023	9.264688456	3.1665001	8.767446891	0.893965671
40	w12	1	herbivory	mix	none	3.294057587	34.73037929	273.2792904	27.37210427	15.87534762	12.31383786	1.923340017	0.682667388	1.077142507	0.402392396	3.231041324	4.075528734	1.41923657	2.388802998	0.720729891	1.191853622	0.366144557	0.257238976	0.195752615	2.578330644	0.015291036	0.085013933	9.222216916	17.95311536	18.72852858	9.855996155	4.197952906	82.03428665	556.153404	9.41333689	3478.453662	396.9915769	1590.133387	93.62356233	806.1430691	167.3703321	26.54427981	1035329.957	5.792950003	5.37895145	22.14179369	50.65219445	2.243330825	979.1067961	1.079847766	11.39065035	11.30386544	3.483092228	13.54615703	0.879054363
