year	timepoint	pond	treatment	count	weight_fr	area
2022	55	3	Control	80	0.18375	0.11244657
2022	55	3	Herbivory	80	0.2275	0.106319856
2022	55	4	Control	80	0.19125	0.105585716
2022	55	4	Herbivory	80	0.19125	0.097877974
2022	55	6	Control	80	0.12875	0.101136722
2022	55	6	Herbivory	80	0.195	0.073625999
2022	55	7	Control	80	0.18375	0.128383801
2022	55	7	Herbivory	80	0.22125	0.113198456
2022	55	8	Control	80	0.20125	0.138504088
2022	55	8	Herbivory	80	0.2275	0.099724197
2022	55	10	Control	80	0.205	0.129708515
2022	55	10	Herbivory	80	0.1525	0.106882559
2022	58	10	Control	80	0.15875	0.09778343
2022	58	10	Herbivory	80	0.19375	0.107293042
2022	58	1	Control	80	0.22875	0.119949052
2022	58	1	Herbivory	80	0.185	0.095457664
2022	58	2	Control	80	0.16	0.087433784
2022	58	2	Herbivory	80	0.175	0.080195506
2022	58	3	Control	80	0.155	0.096304584
2022	58	3	Herbivory	80	0.26625	0.091632844
2022	58	4	Control	80	0.1475	0.084138338
2022	58	4	Herbivory	80	0.2075	0.080598738
2022	58	6	Control	80	0.135	0.086977836
2022	58	6	Herbivory	80	0.16	0.055668991
2022	58	7	Control	80	0.16375	0.114588179
2022	58	7	Herbivory	80	0.135	0.087981282
2022	58	8	Control	80	0.155	0.103412733
2022	58	8	Herbivory	80	0.255	0.106424173
